name,team,position,season,games,receptions,targets,receiving_yards,rec_ypg,receiving_tds,ypr,receiving_fumbles,receiving_2pt_conversions,target_share,air_yards_share,carries,rushing_yards,rush_ypg,rushing_tds,rush_td_percentage,rushing_fumbles,rushing_2pt_conversions,completions,attempts,comp_percentage,passing_yards,pass_ypg,passing_tds,passing_2pt_conversions,td_percentage,interceptions,sacks,sack_fumbles,offense_snaps,teams_offense_snaps,round,overall,stadium_name,stadium_weather_type,stadium_surface,fantasy_points_ppr
Isaiah McKenzie,IND,WR,2023,9,11,14,82.0,9.11,0,7.45,0.0,0,0.05,0.03,3,14.0,1.56,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,97.0,604.0,5.0,172.0,Lucas Oil Stadium,indoor,FieldTurf,20.6
Isaiah Spiller,LAC,RB,2023,9,6,6,34.0,3.78,0,5.67,0.0,0,0.02,-0.0,37,96.0,10.67,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,111.0,612.0,4.0,123.0,Dignity Health Sports Park,warm,Grass,19.0
Isiah Pacheco,KC,RB,2023,14,44,49,244.0,17.43,2,5.55,0.0,0,0.1,-0.04,205,935.0,66.79,7,0.03,1.0,0,0,0,0.0,0.0,0.0,0,0,0.04,0.0,0.0,0,568.0,947.0,7.0,251.0,Arrowhead Stadium,cold,Grass,213.9
Israel Abanikanda,NYJ,RB,2023,6,7,11,43.0,7.17,0,6.14,0.0,0,0.05,0.01,22,70.0,11.67,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,77.0,412.0,5.0,143.0,MetLife Stadium,cold,FieldTurf,18.3
J.K. Dobbins,BAL,RB,2023,1,2,3,15.0,15.0,0,7.5,0.0,0,0.14,0.03,8,22.0,22.0,1,0.12,0.0,0,0,0,0.0,0.0,0.0,0,0,0.1,0.0,0.0,0,30.0,64.0,2.0,55.0,M&T Bank Stadium,moderate,FieldTurf,11.7
Ja'Marr Chase,CIN,WR,2023,16,100,145,1216.0,76.0,7,12.16,1.0,0,0.26,0.35,3,-6.0,-0.38,0,0.0,0.0,0,1,1,1.0,-7.0,-0.44,0,0,0.07,0.0,0.0,0,890.0,1033.0,1.0,5.0,Paul Brown Stadium,cold,FieldTurf,262.72
Jack Stoll,PHI,TE,2023,5,5,8,38.0,7.6,0,7.6,0.0,0,0.06,0.02,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,168.0,349.0,0.0,0.0,Lincoln Financial Field,cold,Grass,8.8
Jacoby Brissett,WAS,QB,2023,2,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,19.0,9.5,0,0.0,0.0,0,18,23,0.78,224.0,112.0,3,0,0.12,0.0,0.0,0,43.0,122.0,3.0,91.0,FedEx Field,moderate,Grass,22.86
Jahan Dotson,WAS,WR,2023,17,49,83,518.0,30.47,4,10.57,0.0,0,0.14,0.17,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.08,0.0,0.0,0,910.0,1113.0,1.0,16.0,FedEx Field,moderate,Grass,124.8
Jahmyr Gibbs,DET,RB,2023,15,52,71,316.0,21.07,1,6.08,0.0,0,0.13,-0.01,182,945.0,63.0,10,0.05,2.0,0,0,0,0.0,0.0,0.0,0,0,0.05,0.0,0.0,0,596.0,1057.0,1.0,12.0,Ford Field,indoor,FieldTurf,242.1
