name,team,position,games,receptions,targets,receiving_yards,rec_ypg,receiving_tds,ypr,receiving_fumbles,receiving_2pt_conversions,target_share,air_yards_share,carries,rushing_yards,rush_ypg,rushing_tds,rush_td_percentage,rushing_fumbles,rushing_2pt_conversions,completions,attempts,comp_percentage,passing_yards,pass_ypg,passing_tds,passing_2pt_conversions,td_percentage,interceptions,sacks,sack_fumbles,offense_snaps,teams_offense_snaps,round,overall,stadium_name,stadium_weather_type,stadium_surface
Christian McCaffrey,SF,RB,12.142857142857142,68.0,83.85714285714286,577.5714285714286,47.684285714285714,4.0,8.61,0.42857142857142855,0.0,0.20285714285714285,0.047142857142857146,173.14285714285714,827.4285714285714,68.52142857142857,7.142857142857143,0.04,1.1428571428571428,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.2857142857142857,12.0,0.8871428571428571,0.2857142857142857,0.0,0.047142857142857146,0.0,0.0,0.0,642.1428571428571,812.2857142857143,1.0,8.0,Levi's Stadium,moderate,Grass
Christian Watson,GB,WR,11.5,34.5,59.5,516.5,45.265,6.0,14.985,0.0,0.0,0.175,0.29500000000000004,5.5,45.5,3.465,1.0,0.145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,0.0,0.0,0.0,476.5,746.5,2.0,34.0,Lambeau Field,cold,Grass
Chuba Hubbard,CAR,RB,15.0,26.0,32.666666666666664,192.66666666666666,12.946666666666667,0.3333333333333333,8.38,0.6666666666666666,0.0,0.07333333333333335,-0.006666666666666667,168.33333333333334,660.0,43.379999999999995,4.0,0.023333333333333334,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023333333333333334,0.0,0.0,0.0,467.0,993.0,4.0,126.0,Bank of America Stadium,moderate,Grass
Clayton Tune,ARI,QB,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,30.0,5.0,1.0,0.12,1.0,1.0,12.0,21.0,0.57,62.0,10.33,0.0,0.0,0.03,2.0,7.0,1.0,59.0,353.0,5.0,139.0,State Farm Stadium,indoor,Grass
Clyde Edwards-Helaire,KC,RB,12.0,22.25,30.5,191.25,15.845,1.75,8.745000000000001,0.0,0.25,0.07,-0.0125,110.25,461.25,39.635,3.0,0.024999999999999998,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0375,0.0,0.0,0.0,333.75,834.5,1.0,32.0,Arrowhead Stadium,cold,Grass
Cody Thompson,SEA,WR,1.0,1.0,1.0,10.0,10.0,0.0,10.0,0.0,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,55.0,0.0,0.0,CenturyLink Field,moderate,FieldTurf
Colby Parkinson,SEA,TE,8.5,14.25,19.5,154.5,15.81,1.0,9.34,0.0,0.0,0.07,0.0575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,240.0,544.0,4.0,133.0,CenturyLink Field,moderate,FieldTurf
Cole Fotheringham,LV,TE,1.0,1.0,1.0,6.0,6.0,0.0,6.0,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,55.0,0.0,0.0,Allegiant Stadium,indoor,Grass
Cole Kmet,CHI,TE,15.5,52.75,74.0,529.5,33.655,3.75,9.9025,0.75,0.0,0.16999999999999998,0.14500000000000002,1.75,2.0,0.10750000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,806.75,1006.5,2.0,43.0,Soldier Field,cold,Grass
Cole Turner,WAS,TE,6.0,6.5,12.0,71.5,10.870000000000001,0.0,11.205,0.0,0.0,0.065,0.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.5,404.0,5.0,149.0,FedEx Field,moderate,Grass
Collin Johnson,CHI,WR,6.0,10.0,17.666666666666668,129.33333333333334,17.733333333333334,0.6666666666666666,11.886666666666665,0.0,0.3333333333333333,0.06333333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03666666666666667,0.0,0.0,0.0,123.0,400.3333333333333,5.0,165.0,Soldier Field,cold,Grass
Colton Dowell,TEN,WR,2.0,1.0,2.0,3.0,1.5,0.0,3.0,0.0,0.0,0.04,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,133.0,0.0,0.0,Nissan Stadium,moderate,Grass
Connor Heyward,PIT,TE,9.5,17.5,25.5,159.0,17.03,0.5,9.92,0.0,0.0,0.085,0.05,1.5,13.5,1.69,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,0.0,221.5,638.0,6.0,208.0,Heinz Field,cold,Grass
Cooper Kupp,LA,WR,13.142857142857142,81.0,113.0,1009.4285714285714,76.04857142857144,7.285714285714286,12.551428571428572,0.8571428571428571,0.2857142857142857,0.24714285714285714,0.2542857142857143,3.4285714285714284,18.428571428571427,1.737142857142857,0.14285714285714285,0.015714285714285715,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.08857142857142856,0.0,0.0,0.0,737.7142857142857,874.0,3.0,69.0,Los Angeles Memorial Coliseum,warm,Grass
Cooper Rush,DAL,QB,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.5,1.135,0.0,0.0,0.0,0.0,35.75,59.0,0.575,404.75,64.6125,2.0,0.0,0.02,1.25,2.75,0.75,133.0,352.0,0.0,0.0,AT&T Stadium,indoor,FieldTurf
Cordarrelle Patterson,ATL,RB,13.666666666666666,27.333333333333332,37.333333333333336,236.0,15.6,2.0,6.8566666666666665,0.0,0.0,0.08666666666666667,0.02666666666666667,115.66666666666667,498.0,35.72,4.666666666666667,0.03333333333333333,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,341.0,882.6666666666666,0.0,0.0,Mercedes-Benz Stadium,indoor,FieldTurf
Courtland Sutton,DEN,WR,13.5,49.666666666666664,85.16666666666667,709.8333333333334,54.778333333333336,4.0,15.601666666666667,0.8333333333333334,0.16666666666666666,0.20166666666666666,0.3233333333333333,0.8333333333333334,3.5,0.22166666666666668,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.0,0.5533333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,727.8333333333334,880.6666666666666,2.0,40.0,Empower Field at Mile High,cold,Grass
Craig Reynolds,DET,RB,4.5,5.5,6.0,54.5,10.139999999999999,0.0,8.18,0.0,0.0,0.04,-0.0025,30.0,128.75,24.2075,0.25,0.005,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,85.0,303.0,0.0,0.0,Ford Field,indoor,FieldTurf
Curtis Samuel,WAS,WR,12.714285714285714,45.285714285714285,69.28571428571429,483.2857142857143,33.395714285714284,3.142857142857143,9.662857142857144,0.14285714285714285,0.0,0.1442857142857143,0.16142857142857145,17.285714285714285,102.14285714285714,7.441428571428571,1.0,0.07428571428571429,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05857142857142857,0.0,0.0,0.0,542.2857142857143,865.0,2.0,40.0,FedEx Field,moderate,Grass
D'Andre Swift,PHI,RB,14.0,48.75,63.5,353.0,25.85,2.0,7.16,1.25,0.0,0.14,0.0025,148.25,682.25,47.9525,5.75,0.0425,1.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,495.25,930.75,2.0,35.0,Lincoln Financial Field,cold,Grass
D'Ernest Johnson,JAX,RB,8.2,8.2,10.2,73.8,9.7,0.0,8.008,0.2,0.0,0.042,0.006,36.4,169.2,17.024,0.6,0.006,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,131.2,550.4,0.0,0.0,TIAA Bank Field,warm,Grass
D'Onta Foreman,CHI,RB,8.166666666666666,5.666666666666667,7.833333333333333,57.0,10.345,0.5,9.783333333333333,0.0,0.0,0.035,0.006666666666666667,92.0,387.6666666666667,36.92666666666667,2.3333333333333335,0.018333333333333333,1.1666666666666667,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,175.66666666666666,543.6666666666666,3.0,89.0,Soldier Field,cold,Grass
D'Wayne Eskridge,SEA,WR,6.333333333333333,5.666666666666667,11.333333333333334,40.666666666666664,5.083333333333333,0.3333333333333333,4.8966666666666665,0.0,0.0,0.049999999999999996,0.049999999999999996,2.6666666666666665,24.666666666666668,3.4333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023333333333333334,0.0,0.0,0.0,112.66666666666667,389.0,2.0,56.0,CenturyLink Field,moderate,FieldTurf
D.J. Chark,CAR,WR,11.0,35.333333333333336,63.833333333333336,511.5,45.56333333333333,3.8333333333333335,15.548333333333334,0.5,0.16666666666666666,0.16333333333333333,0.285,0.3333333333333333,3.3333333333333335,0.22166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12166666666666666,0.0,0.0,0.0,0.0,0.0,2.0,61.0,Bank of America Stadium,moderate,Grass
D.J. Montgomery,IND,WR,1.5,3.0,7.0,46.0,32.0,0.5,15.335,0.0,0.0,0.14,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.0,0.0,71.0,102.5,0.0,0.0,Lucas Oil Stadium,indoor,FieldTurf
D.J. Moore,CHI,WR,16.166666666666668,76.66666666666667,125.33333333333333,1094.1666666666667,67.94166666666666,4.833333333333333,14.445,0.8333333333333334,0.16666666666666666,0.25,0.38666666666666666,7.166666666666667,59.333333333333336,3.6783333333333332,0.16666666666666666,0.041666666666666664,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,913.0,1068.0,1.0,24.0,Soldier Field,cold,Grass
DK Metcalf,SEA,WR,16.5,78.5,129.5,1108.0,67.39750000000001,9.0,14.2775,1.0,0.0,0.25,0.39,0.25,1.5,0.0875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CenturyLink Field,moderate,FieldTurf
Dak Prescott,DAL,QB,14.25,0.125,0.25,1.375,0.275,0.125,1.375,0.0,0.0,0.00125,0.00125,50.875,235.5,16.67875,3.5,0.07625,2.25,0.375,324.375,484.125,0.67,3682.375,267.42125,25.25,0.875,0.05375,9.25,29.375,4.625,957.0,988.25,4.0,135.0,AT&T Stadium,indoor,FieldTurf
Dallas Goedert,PHI,TE,13.5,51.166666666666664,70.66666666666667,598.1666666666666,44.681666666666665,3.6666666666666665,11.598333333333334,0.6666666666666666,0.16666666666666666,0.17,0.14833333333333334,0.16666666666666666,0.16666666666666666,0.011666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,698.0,937.3333333333334,2.0,49.0,Lincoln Financial Field,cold,Grass
Dalton Kincaid,BUF,TE,16.0,73.0,91.0,673.0,42.06,2.0,9.22,1.0,0.0,0.18,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,699.0,1111.0,1.0,25.0,New Era Field,cold,FieldTurf
Dalton Schultz,HOU,TE,12.0,45.0,64.83333333333333,459.5,31.05666666666667,3.6666666666666665,9.445,0.5,0.16666666666666666,0.13,0.10666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,627.3333333333334,851.6666666666666,4.0,137.0,NRG Stadium,indoor,Grass
Dameon Pierce,HOU,RB,13.0,21.5,28.0,133.0,10.23,0.5,6.635,0.0,0.0,0.065,0.0,182.5,677.5,52.115,3.0,0.015,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,402.5,839.0,4.0,107.0,NRG Stadium,indoor,Grass
Damien Harris,BUF,RB,8.6,8.4,10.6,59.4,5.098000000000001,0.0,6.288,0.0,0.0,0.030000000000000006,0.002,94.4,437.6,40.14,4.2,0.03,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028000000000000004,0.0,0.0,0.0,192.2,556.4,3.0,87.0,New Era Field,cold,FieldTurf
Damien Williams,ARI,RB,9.444444444444445,17.333333333333332,22.333333333333332,135.66666666666666,12.02888888888889,1.2222222222222223,6.748888888888889,0.1111111111111111,0.0,0.05888888888888889,0.007777777777777778,38.55555555555556,160.0,16.00888888888889,1.5555555555555556,0.030000000000000002,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03888888888888889,0.0,0.0,0.0,156.55555555555554,621.7777777777778,0.0,0.0,State Farm Stadium,indoor,Grass
Daniel Bellinger,NYG,TE,12.0,27.5,31.5,261.5,21.990000000000002,1.0,9.565,0.5,0.5,0.1,0.07,0.5,1.0,0.09,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,537.0,784.5,4.0,112.0,MetLife Stadium,cold,FieldTurf
Daniel Jones,NYG,QB,12.0,0.2,0.2,3.2,0.29,0.0,3.2,0.0,0.0,0.0,0.002,66.4,382.8,31.468,2.6,0.033999999999999996,2.6,0.4,244.2,380.0,0.646,2502.4,203.12,12.4,1.2,0.032,8.0,35.8,6.4,744.4,794.8,1.0,6.0,MetLife Stadium,cold,FieldTurf
Dare Ogunbowale,HOU,RB,10.0,16.0,24.0,115.2,9.888,0.2,7.308,0.2,0.0,0.06,0.012,27.2,91.4,10.495999999999999,0.8,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,199.2,681.4,0.0,0.0,NRG Stadium,indoor,Grass
Darius Slayton,NYG,WR,14.6,44.0,77.6,664.8,45.372,3.8,14.924000000000001,0.8,0.0,0.168,0.31,0.6,-2.8,-0.21200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,737.4,957.0,5.0,171.0,MetLife Stadium,cold,FieldTurf
Darnell Mooney,CHI,WR,14.5,53.25,90.0,648.25,43.9725,2.75,12.2575,0.25,0.25,0.21250000000000002,0.3,3.25,14.75,0.9175,0.25,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,782.5,970.25,5.0,173.0,Soldier Field,cold,Grass
Darnell Washington,PIT,TE,8.0,7.0,10.0,61.0,7.62,0.0,8.71,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.0,517.0,3.0,93.0,Heinz Field,cold,Grass
Darrell Henderson,LA,RB,9.5,14.75,21.0,117.75,14.01,1.0,8.8275,0.0,0.0,0.0725,0.0025,93.0,392.75,36.9825,3.0,0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,267.5,640.25,3.0,70.0,Los Angeles Memorial Coliseum,warm,Grass
Darren Waller,NYG,TE,11.0,50.4,74.4,577.2,48.064,3.4,11.25,0.4,0.2,0.188,0.22199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,538.0,755.6,0.0,0.0,MetLife Stadium,cold,FieldTurf
